"#","Class Name","Schedule","Program","Gender","Age Range","Max Enroll","Current Enroll","Openings","Trials","Make Ups","Price"
"275","Swim_Cls_Mon5:30pm_BUB2/3","M   - 05:30 PM - 06:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"276","Swim_Cls_Mon5:30pm_BUB","M   - 05:30 PM - 06:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"277","Swim_Cls_Mon5:00pm_SPR/RCR/CHL","M   - 05:00 PM - 06:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"278","Swim_Cls_Mon5:00pm_SPR/RCR","M   - 05:00 PM - 06:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"279","Swim_Cls_Mon5:00pm_PRE-BUB","M   - 05:00 PM - 05:30 PM","Swim Classes","C","3 - 4","4","0","4","0","0","$ 226.00"
"280","Swim_Cls_Mon5:00pm_PRE-BUB","M   - 05:00 PM - 05:30 PM","Swim Classes","C","3 - 4","4","0","4","0","0","$ 226.00"
"281","Swim_Cls_Mon5:00pm_GLD","M   - 05:00 PM - 05:45 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"282","Swim_Cls_Mon5:00pm_GLD","M   - 05:00 PM - 05:45 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"283","Swim_Cls_Mon5:00pm_CRL","M   - 05:00 PM - 05:45 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"284","Swim_Cls_Mon4:30pm_BUB","M   - 04:30 PM - 05:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"285","Swim_Cls_Mon4:15pm_GLD2/3","M   - 04:15 PM - 05:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"286","Swim_Cls_Mon4:15pm_GLD (B)","M   - 04:15 PM - 05:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"287","Swim_Cls_Mon4:15pm_GLD (A)","M   - 04:15 PM - 05:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"288","Swim_Cls_Mon4:15pm_CRL","M   - 04:15 PM - 05:00 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"289","Swim_Cls_Mon4:00pm_SPR/RCR","M   - 04:00 PM - 05:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"290","Swim_Cls_Mon4:00pm_CHL/MST","M   - 04:00 PM - 05:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"291","Swim_Cls_Mon4:00pm_BUB","M   - 04:00 PM - 04:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"292","Swim_Cls_Mon3:30pm_GLD1/2","M   - 03:30 PM - 04:15 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"293","Swim_Cls_Mon3:30pm_GLD","M   - 03:30 PM - 04:15 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"294","Swim_Cls_Mon3:30pm_CRL","M   - 03:30 PM - 04:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"295","Swim_Cls_Mon3:30pm_CRL","M   - 03:30 PM - 04:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"296","Swim_Cls_Mon3:30pm_BUB2/3","M   - 03:30 PM - 04:00 PM","Swim Classes","C","","4","0","4","0","0","$ 248.00"
"297","Swim_Cls_Mon3:30pm_BUB1","M   - 03:30 PM - 04:00 PM","Swim Classes","C","","4","0","4","0","0","$ 248.00"
"298","Swim_Cls_Fri7:30pm_BUB1/2","F   - 07:30 PM - 08:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"299","Swim_Cls_Fri7:30pm_BUB","F   - 07:30 PM - 08:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"300","Swim_Cls_Fri7:15pm_GLD","F   - 07:15 PM - 08:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"301","Swim_Cls_Fri7:15pm_GLD","F   - 07:15 PM - 08:00 PM","Swim Classes","C","6 - 12","8","1","7","0","0","$ 226.00"
"302","Swim_Cls_Fri7:15pm_CRL1/2","F   - 07:15 PM - 08:00 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"303","Swim_Cls_Fri7:00pm_SPR/RCR","F   - 07:00 PM - 08:00 PM","Swim Classes","C","6 - 17","14","5","9","0","0","$ 248.00"
"304","Swim_Cls_Fri7:00pm_BUB1","F   - 07:00 PM - 07:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"305","Swim_Cls_Fri7:00pm_BUB","F   - 07:00 PM - 07:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"306","Swim_Cls_Fri7:00pm_Adult","F   - 07:00 PM - 08:00 PM","Swim Classes","C","18 - 75","10","0","10","0","0","$ 248.00"
"307","Swim_Cls_Fri7:00pm_Adult","F   - 07:00 PM - 08:00 PM","Swim Classes","C","18 - 75","10","0","10","0","0","$ 248.00"
"308","Swim_Cls_Fri6:30pm_GLD","F   - 06:30 PM - 07:15 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"309","Swim_Cls_Fri6:30pm_CRL","F   - 06:30 PM - 07:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"310","Swim_Cls_Fri6:30pm_CRL","F   - 06:30 PM - 07:15 PM","Swim Classes","C","4 - 11","6","1","5","0","0","$ 226.00"
"311","Swim_Cls_Fri6:30pm_BUB","F   - 06:30 PM - 07:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"312","Swim_Cls_Fri6:30pm_BUB","F   - 06:30 PM - 07:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"313","Swim_Cls_Fri6:00pm_SPR/RCR","F   - 06:00 PM - 07:00 PM","Swim Classes","C","6 - 17","14","2","12","0","0","$ 248.00"
"314","Swim_Cls_Fri6:00pm_RCR/CHL/MST","F   - 06:00 PM - 07:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"315","Swim_Cls_Fri6:00pm_CHL/MST","F   - 06:00 PM - 07:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"316","Swim_Cls_Fri6:00pm_BUB1","F   - 06:00 PM - 06:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"317","Swim_Cls_Fri6:00pm_BUB","F   - 06:00 PM - 06:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"318","Swim_Cls_Fri5:45pm_GLD","F   - 05:45 PM - 06:30 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"319","Swim_Cls_Fri5:45pm_GLD","F   - 05:45 PM - 06:30 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"320","Swim_Cls_Fri5:45pm_CRL1","F   - 05:45 PM - 06:30 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"321","Swim_Cls_Fri5:30pm_BUB1/2","F   - 05:30 PM - 06:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"322","Swim_Cls_Fri5:30pm_BUB","F   - 05:30 PM - 06:00 PM","Swim Classes","C","4 - 10","4","1","3","0","0","$ 226.00"
"323","Swim_Cls_Fri5:00pm_SPR/RCR","F   - 05:00 PM - 06:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"324","Swim_Cls_Fri5:00pm_SPR/RCR","F   - 05:00 PM - 06:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"325","Swim_Cls_Fri5:00pm_PRE-BUB","F   - 05:00 PM - 05:30 PM","Swim Classes","C","3 - 4","4","0","4","0","0","$ 226.00"
"326","Swim_Cls_Fri5:00pm_PRE-BUB","F   - 05:00 PM - 05:30 PM","Swim Classes","C","3 - 4","4","0","4","0","0","$ 226.00"
"327","Swim_Cls_Fri5:00pm_GLD","F   - 05:00 PM - 05:45 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"328","Swim_Cls_Fri5:00pm_CRL2/3","F   - 05:00 PM - 05:45 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"329","Swim_Cls_Fri5:00pm_CRL","F   - 05:00 PM - 05:45 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"330","Swim_Cls_Fri5:00pm_CHL/MST","F   - 05:00 PM - 06:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"331","Swim_Cls_Fri4:30pm_BUB2/3","F   - 04:30 PM - 05:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"332","Swim_Cls_Fri4:30pm_BUB","F   - 04:30 PM - 05:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"333","Swim_Cls_Fri4:15pm_GLD","F   - 04:15 PM - 05:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"334","Swim_Cls_Fri4:15pm_GLD","F   - 04:15 PM - 05:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"335","Swim_Cls_Fri4:15pm_CRL","F   - 04:15 PM - 05:00 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"336","Swim_Cls_Fri4:00pm_SPR/RCR","F   - 04:00 PM - 05:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"337","Swim_Cls_Fri4:00pm_SPR/RCR","F   - 04:00 PM - 05:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"338","Swim_Cls_Fri4:00pm_CHL/MST","F   - 04:00 PM - 05:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"339","Swim_Cls_Fri4:00pm_BUB1","F   - 04:00 PM - 04:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"340","Swim_Cls_Fri4:00pm_BUB","F   - 04:00 PM - 04:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"341","Swim_Cls_Fri3:30pm_GLD","F   - 03:30 PM - 04:15 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"342","Swim_Cls_Fri3:30pm_CRL","F   - 03:30 PM - 04:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"343","Swim_Cls_Fri3:30pm_CRL","F   - 03:30 PM - 04:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"344","Swim_Cls_Fri3:30pm_BUB2/3","F   - 03:30 PM - 04:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"345","SUN_ADT 1:00PM","Su  - 01:00 PM - 02:00 PM","Swim Classes","C","","10","5","5","0","0","$ 336.00"
"346","Sun_9:45am GLD 1/2/3","Su  - 09:45 AM - 10:30 AM","Swim Classes","C","","8","1","7","0","0","$ 226.00"
"347","Sun_9:45am CRL 2/3","Su  - 09:45 AM - 10:30 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"348","Sun_9:45am CRL 1","Su  - 09:45 AM - 10:30 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"349","Sun_9:30am BUB 2/3","Su  - 09:30 AM - 10:00 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"350","Sun_9:30am BUB 2/3","Su  - 09:30 AM - 10:00 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"351","Sun_9:00am SPR","Su  - 09:00 AM - 10:00 AM","Swim Classes","C","","12","0","12","0","0","$ 248.00"
"352","Sun_9:00am RCR/CHL","Su  - 09:00 AM - 10:00 AM","Swim Classes","C","","0","0","","0","0","$ 248.00"
"353","Sun_9:00am RCR/CHL","Su  - 09:00 AM - 10:00 AM","Swim Classes","C","","0","0","","0","0","$ 248.00"
"354","Sun_9:00am RCR/CHL","Su  - 09:00 AM - 10:00 AM","Swim Classes","C","","0","0","","0","0","$ 248.00"
"355","Sun_9:00am GLD 1/2/3","Su  - 09:00 AM - 09:45 AM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"356","Sun_9:00am CRL 2/3","Su  - 09:00 AM - 09:45 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"357","Sun_9:00am CRL 1","Su  - 09:00 AM - 09:45 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"358","Sun_9:00am CHL/MST","Su  - 09:00 AM - 10:00 AM","Swim Classes","C","","14","0","14","0","0","$ 248.00"
"359","Sun_9:00am BUB 2/3","Su  - 09:00 AM - 09:30 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"360","Sun_9:00am BUB 1","Su  - 09:00 AM - 09:30 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"361","Sun_4:30pm BUB 2/3","Su  - 04:30 PM - 05:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"362","Sun_4:15pm GLD 1/2/3","Su  - 04:15 PM - 05:00 PM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"363","Sun_4:15pm CRL 2/3","Su  - 04:15 PM - 05:00 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"364","Sun_4:00pm SPR/RCR","Su  - 04:00 PM - 05:00 PM","Swim Classes","C","","12","2","10","0","0","$ 248.00"
"365","Sun_4:00pm CRL 1","Su  - 04:00 PM - 04:45 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"366","Sun_4:00pm CHL/MST","Su  - 04:00 PM - 05:00 PM","Swim Classes","C","","14","0","14","0","0","$ 248.00"
"367","Sun_4:00pm BUB 2/3","Su  - 04:00 PM - 04:30 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"368","Sun_3:30pm GLD 1/2/3","Su  - 03:30 PM - 04:15 PM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"369","Sun_3:30pm CRL 2/3","Su  - 03:30 PM - 04:15 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"370","Sun_3:30pm BUB 1","Su  - 03:30 PM - 04:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"371","Sun_3:15pm CRL 1/2/3","Su  - 03:15 PM - 04:00 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"372","Sun_3:00pm SPR/RCR","Su  - 03:00 PM - 04:00 PM","Swim Classes","C","","12","1","11","0","0","$ 248.00"
"373","Sun_3:00pm CHL/MST","Su  - 03:00 PM - 04:00 PM","Swim Classes","C","","14","1","13","0","0","$ 248.00"
"374","Sun_2:30pm GLD 1/2/3","Su  - 02:30 PM - 03:15 PM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"375","Sun_2:30pm CRL 2/3","Su  - 02:30 PM - 03:15 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"376","Sun_2:30pm CRL 1","Su  - 02:30 PM - 03:15 PM","Swim Classes","C","","6","1","5","0","0","$ 226.00"
"377","Sun_2:30pm BUB 1","Su  - 02:30 PM - 03:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"378","Sun_2:00pm SPR/RCR","Su  - 02:00 PM - 03:00 PM","Swim Classes","C","","12","0","12","0","0","$ 248.00"
"379","Sun_2:00pm CHL/MST","Su  - 02:00 PM - 03:00 PM","Swim Classes","C","","14","0","14","0","0","$ 248.00"
"380","Sun_2:00pm BUB 2/3","Su  - 02:00 PM - 02:30 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"381","Sun_2:00pm BUB 1/2","Su  - 02:00 PM - 02:30 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"382","Sun_1:45pm GLD 1/2/3","Su  - 01:45 PM - 02:30 PM","Swim Classes","C","","8","1","7","0","0","$ 226.00"
"383","Sun_1:45pm CRL1","Su  - 01:45 PM - 02:30 PM","Swim Classes","C","","0","0","","0","0","$ 226.00"
"384","Sun_1:45pm CRL 2/3","Su  - 01:45 PM - 02:30 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"385","Sun_1:30pm BUB1","Su  - 01:30 PM - 02:00 PM","Swim Classes","C","","0","0","","0","0","$ 226.00"
"386","Sun_1:00pm Turns/Dives","Su  - 01:00 PM - 02:00 PM","Swim Classes","C","","12","0","12","0","0","$ 248.00"
"387","Sun_1:00pm GLD 1/2/3","Su  - 01:00 PM - 01:45 PM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"388","Sun_1:00pm CRL 2/3","Su  - 01:00 PM - 01:45 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"389","Sun_1:00pm BUB1","Su  - 01:00 PM - 01:30 PM","Swim Classes","C","","0","0","","0","0","$ 226.00"
"390","Sun_1:00pm ADT INT","Su  - 01:00 PM - 02:00 PM","Swim Classes","C","","7","0","7","0","0","$ 248.00"
"391","Sun_1:00pm ADT BEG","Su  - 01:00 PM - 02:00 PM","Swim Classes","C","","7","1","6","0","0","$ 248.00"
"392","Sun_11:30am BUB 2/3","Su  - 11:30 AM - 12:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"393","Sun_11:30am BUB 2/3","Su  - 11:30 AM - 12:00 PM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"394","Sun_11:15am GLD 1/2/3","Su  - 11:15 AM - 12:00 PM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"395","Sun_11:15am CRL 2/3","Su  - 11:15 AM - 12:00 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"396","Sun_11:15am CRL 1","Su  - 11:15 AM - 12:00 PM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"397","Sun_11:00am SPR/RCR","Su  - 11:00 AM - 12:00 PM","Swim Classes","C","","12","0","12","0","0","$ 248.00"
"398","Sun_11:00am PBUB","Su  - 11:00 AM - 11:30 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"399","Sun_11:00am CHL/MST","Su  - 11:00 AM - 12:00 PM","Swim Classes","C","","14","0","14","0","0","$ 248.00"
"400","Sun_11:00am BUB 2/3","Su  - 11:00 AM - 11:30 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"401","Sun_10:30am PBUB","Su  - 10:30 AM - 11:00 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"402","Sun_10:30am GLD 1/2/3","Su  - 10:30 AM - 11:15 AM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"403","Sun_10:30am CRL 2/3","Su  - 10:30 AM - 11:15 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"404","Sun_10:30am CRL 1","Su  - 10:30 AM - 11:15 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"405","Sun_10:30am BUB 2/3","Su  - 10:30 AM - 11:00 AM","Swim Classes","C","","4","1","3","0","0","$ 226.00"
"406","Sun_10:00am TEEN","Su  - 10:00 AM - 11:00 AM","Swim Classes","C","","7","0","7","0","0","$ 248.00"
"407","Sun_10:00am TEEN","Su  - 10:00 AM - 11:00 AM","Swim Classes","C","","0","0","","0","0","$ 248.00"
"408","Sun_10:00am PBUB","Su  - 10:00 AM - 10:30 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"409","Sun_10:00am CHL/MST","Su  - 10:00 AM - 11:00 AM","Swim Classes","C","","14","0","14","0","0","$ 248.00"
"410","Sun_10:00am BUB1","Su  - 10:00 AM - 10:30 AM","Swim Classes","C","","0","1","","0","0","$ 226.00"
"411","Sun_10:00am BUB 1","Su  - 10:00 AM - 10:30 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"412","Sun 9:45am GL1/2/3","Su  - 09:45 AM - 10:30 AM","Swim Classes","C","6 - 18","8","1","7","0","0","$ 226.00"
"413","Sun 9:45am CR2/3","Su  - 09:45 AM - 10:30 AM","Swim Classes","C","4 - 18","6","2","4","0","0","$ 226.00"
"414","Sun 9:30am BU2/3","Su  - 09:30 AM - 10:00 AM","Swim Classes","C","4 - 18","4","2","2","0","0","$ 226.00"
"415","Sun 9:00am SPR/RCR","Su  - 09:00 AM - 10:00 AM","Swim Classes","C","8 - 18","12","1","11","0","0","$ 248.00"
"416","Sun 9:00am GL1/2/3","Su  - 09:00 AM - 09:45 AM","Swim Classes","C","6 - 18","8","0","8","0","0","$ 226.00"
"417","Sun 9:00am CR2/3","Su  - 09:00 AM - 09:45 AM","Swim Classes","C","4 - 18","6","0","6","0","0","$ 226.00"
"418","Sun 9:00am CHL/MST","Su  - 09:00 AM - 10:00 AM","Swim Classes","C","8 - 18","14","0","14","0","0","$ 248.00"
"419","Sun 9:00am BU1","Su  - 09:00 AM - 09:30 AM","Swim Classes","C","4 - 18","4","1","3","0","0","$ 226.00"
"420","Sun 4:30pm BU2/3","Su  - 04:30 PM - 05:00 PM","Swim Classes","C","4 - 18","4","0","4","0","0","$ 226.00"
"421","Sun 4:00pm SPR/RCR","Su  - 04:00 PM - 05:00 PM","Swim Classes","C","6 - 18","12","2","10","0","0","$ 248.00"
"422","Sun 4:00pm GL1/2/3","Su  - 04:00 PM - 04:45 PM","Swim Classes","C","6 - 18","8","2","6","0","0","$ 226.00"
"423","Sun 4:00pm CR2/3","Su  - 04:00 PM - 04:45 PM","Swim Classes","C","6 - 18","6","0","6","0","0","$ 226.00"
"424","Sun 4:00pm CR1","Su  - 04:00 PM - 04:45 PM","Swim Classes","C","6 - 18","6","0","6","0","0","$ 226.00"
"425","Sun 4:00pm BU2/3","Su  - 04:00 PM - 04:30 PM","Swim Classes","C","4 - 18","4","0","4","0","0","$ 226.00"
"426","Sun 3:30pm BU1","Su  - 03:30 PM - 04:00 PM","Swim Classes","C","4 - 18","4","0","4","0","0","$ 226.00"
"427","SUN 3:30 BUB2/3","Su  - 03:30 PM - 04:00 PM","Swim Classes","C","","4","2","2","0","0","$ 306.00"
"428","Sun 3:15pm GL1/2/3","Su  - 03:15 PM - 04:00 PM","Swim Classes","C","6 - 18","8","1","7","0","0","$ 226.00"
"429","Sun 3:15pm CR2/3","Su  - 03:15 PM - 04:00 PM","Swim Classes","C","6 - 18","6","2","4","0","0","$ 226.00"
"430","Sun 3:00pm CHL/MST","Su  - 03:00 PM - 04:00 PM","Swim Classes","C","6 - 18","14","0","14","0","0","$ 248.00"
"431","Sun 3:00pm BU2/3","Su  - 03:00 PM - 03:30 PM","Swim Classes","C","4 - 18","4","0","4","0","0","$ 226.00"
"432","Sun 3:00 SPR/RCR","Su  - 03:00 PM - 04:00 PM","Swim Classes","C","6 - 18","12","3","9","0","0","$ 248.00"
"433","Sun 2:30pm GL1/2/3","Su  - 02:30 PM - 03:15 PM","Swim Classes","C","6 - 18","8","1","7","0","0","$ 226.00"
"434","Sun 2:30pm CR2/3","Su  - 02:30 PM - 03:15 PM","Swim Classes","C","6 - 18","6","0","6","0","0","$ 226.00"
"435","Sun 2:30pm BU2/3","Su  - 02:30 PM - 03:00 PM","Swim Classes","C","4 - 18","4","0","4","0","0","$ 226.00"
"436","Sun 2:00pm SPR3/RCR","Su  - 02:00 PM - 03:00 PM","Swim Classes","C","6 - 18","12","0","12","0","0","$ 248.00"
"437","Sun 2:00pm SPR","Su  - 02:00 PM - 03:00 PM","Swim Classes","C","6 - 18","12","0","12","0","0","$ 248.00"
"438","Sun 2:00pm BU1/2","Su  - 02:00 AM - 02:30 AM","Swim Classes","C","4 - 18","4","1","3","0","0","$ 226.00"
"439","Sun 2:00 RCR","Su  - 02:00 PM - 03:00 PM","Swim Classes","C","6 - 18","12","0","12","0","0","$ 248.00"
"440","Sun 1:45pm GL1/2/3","Su  - 01:45 PM - 02:30 PM","Swim Classes","C","6 - 18","8","0","8","0","0","$ 226.00"
"441","Sun 1:45pm CR2/3","Su  - 01:45 PM - 02:30 PM","Swim Classes","C","6 - 18","6","1","5","0","0","$ 226.00"
"442","Sun 1:00pm CR1","Su  - 01:00 PM - 01:45 PM","Swim Classes","C","6 - 18","6","1","5","0","0","$ 226.00"
"443","Sun 1:00pm ADT","Su  - 01:00 PM - 02:00 PM","Swim Classes","C","","7","6","1","0","0","$ 248.00"
"444","Sun 1:00pm ADT","Su  - 01:00 PM - 02:00 PM","Swim Classes","C","","7","1","6","0","0","$ 248.00"
"445","Sun 1:00 GL1/2/3","Su  - 01:00 PM - 01:45 PM","Swim Classes","C","6 - 18","8","3","5","0","0","$ 226.00"
"446","Sun 11:30am BU2/3","Su  - 11:30 AM - 12:00 PM","Swim Classes","C","4 - 18","4","0","4","0","0","$ 226.00"
"447","Sun 11:15am GL2/3","Su  - 11:15 AM - 12:00 PM","Swim Classes","C","6 - 18","8","1","7","0","0","$ 226.00"
"448","Sun 11:15am CR2/3","Su  - 11:15 AM - 12:00 PM","Swim Classes","C","4 - 18","6","1","5","0","0","$ 226.00"
"449","Sun 11:15am CR1","Su  - 11:15 AM - 12:00 PM","Swim Classes","C","4 - 18","6","1","5","0","0","$ 226.00"
"450","Sun 11:00am SPR/RCR","Su  - 11:00 AM - 12:00 PM","Swim Classes","C","6 - 18","12","2","10","0","0","$ 248.00"
"451","Sun 11:00am PBUB","Su  - 11:00 AM - 11:30 AM","Swim Classes","C","4 - 18","4","2","2","0","0","$ 226.00"
"452","Sun 10:30am GL1/2/3","Su  - 10:30 PM - 11:15 PM","Swim Classes","C","6 - 18","8","0","8","0","0","$ 226.00"
"453","Sun 10:30am CR1/2","Su  - 10:30 AM - 11:15 AM","Swim Classes","C","6 - 18","6","0","6","0","0","$ 226.00"
"454","Sun 10:30am BU2/3","Su  - 10:30 AM - 11:00 AM","Swim Classes","C","4 - 18","4","1","3","0","0","$ 226.00"
"455","Sun 10:00am SPR/RCR","Su  - 10:00 AM - 11:00 AM","Swim Classes","C","8 - 18","12","0","12","0","0","$ 248.00"
"456","Sun 10:00am CHL/MST","Su  - 10:00 AM - 11:00 AM","Swim Classes","C","6 - 18","14","2","12","0","0","$ 248.00"
"457","Sun 10:00am BU1","Su  - 10:00 AM - 10:30 AM","Swim Classes","C","4 - 18","4","0","4","0","0","$ 226.00"
"458","SUN 10:00 SPR/RCR","Su  - 10:00 AM - 11:00 AM","Swim Classes","C","","12","9","3","0","0","$ 336.00"
"459","Sat_9:45am GLD 1/2/3","Sa  - 09:45 AM - 10:30 AM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"460","Sat_9:45am CRL 2/3","Sa  - 09:45 AM - 10:30 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"461","Sat_9:45am CRL 1","Sa  - 09:45 AM - 10:30 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"462","Sat_9:30am BUB 2/3","Sa  - 09:30 AM - 10:00 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"463","Sat_9:30am BUB 2/3","Sa  - 09:30 AM - 10:00 AM","Swim Classes","C","","4","0","4","0","0","$ 226.00"
"464","Sat_9:00am SPR/RCR","Sa  - 09:00 AM - 10:00 AM","Swim Classes","C","","12","0","12","0","0","$ 248.00"
"465","Sat_9:00am GLD 1/2/3","Sa  - 09:00 AM - 09:45 AM","Swim Classes","C","","8","0","8","0","0","$ 226.00"
"466","Sat_9:00am CRL 2/3","Sa  - 09:00 AM - 09:45 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"467","Sat_9:00am CRL 1","Sa  - 09:00 AM - 09:45 AM","Swim Classes","C","","6","0","6","0","0","$ 226.00"
"468","Sat_9:00am CHL/MST","Sa  - 09:00 AM - 10:00 AM","Swim Classes","C","","14","0","14","0","0","$ 248.00"
