"#","Class Name","Schedule","Program","Gender","Age Range","Max Enroll","Current Enroll","Openings","Trials","Make Ups","Price"
"143","Swim_Cls_Sun3:30pm_CRL","Su  - 03:30 PM - 04:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"144","Swim_Cls_Sun3:30pm_BUB1","Su  - 03:30 PM - 04:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"145","Swim_Cls_Sun3:15pm_GLD","Su  - 03:15 PM - 04:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"146","Swim_Cls_Sun3:15pm_GLD","Su  - 03:15 PM - 04:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"147","Swim_Cls_Sun3:15pm_CRL","Su  - 03:15 PM - 04:00 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"148","Swim_Cls_Sun3:00pm_SPR/RCR","Su  - 03:00 PM - 04:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"149","Swim_Cls_Sun3:00pm_RCR/CHL/MST","Su  - 03:00 PM - 04:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"150","Swim_Cls_Sun3:00pm_CHL/MST","Su  - 03:00 PM - 04:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"151","Swim_Cls_Sun3:00pm_BUB2/3","Su  - 03:00 PM - 03:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"152","Swim_Cls_Sun2:45pm_BUB","Su  - 02:45 PM - 03:15 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"153","Swim_Cls_Sun2:30pm_GLD","Su  - 02:30 PM - 03:15 PM","Swim Classes","C","6 - 12","8","1","7","0","0","$ 226.00"
"154","Swim_Cls_Sun2:30pm_GLD","Su  - 02:30 PM - 03:15 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"155","Swim_Cls_Sun2:30pm_CRL","Su  - 02:30 PM - 03:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"156","Swim_Cls_Sun2:30pm_BUB1","Su  - 02:30 PM - 03:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"157","Swim_Cls_Sun2:00pm_SPR/RCR","Su  - 02:00 PM - 03:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"158","Swim_Cls_Sun2:00pm_SPR/RCR","Su  - 02:00 PM - 03:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"159","Swim_Cls_Sun2:00pm_CRL","Su  - 02:00 PM - 02:45 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"160","Swim_Cls_Sun2:00pm_BUB","Su  - 02:00 PM - 02:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
